id,name,city,latitude,longitude,dpcapacity,online_date
18,Wacker Dr & Washington St,Chicago,41.88327159,-87.63731329,19,6/22/2013 19:00:47
278,Wallace St & 35th St,Chicago,41.830629,-87.64129,15,09-10-2013 15:57
448,Warren Park East,Chicago,42.00454962,-87.68066615,15,02-10-2015 14:02
450,Warren Park West,Chicago,42.00200726,-87.68972623,15,02-10-2015 14:03
437,Washtenaw Ave & 15th St (*),Chicago,41.86148,-87.693374,20,02-10-2015 11:48
475,Washtenaw Ave & Lawrence Ave,Chicago,41.96871107,-87.69616957,15,02-10-2015 14:38
218,Wells St & 19th St,Chicago,41.856802,-87.633879,11,8/15/2013 16:21:27
289,Wells St & Concord Ln,Chicago,41.912133,-87.634656,19,9/13/2013 09:46:47
182,Wells St & Elm St,Chicago,41.903222,-87.634324,23,7/20/2013 12:38:04
291,Wells St & Evergreen Ave,Chicago,41.906724,-87.63483,19,9/13/2013 12:11:25
53,Wells St & Huron St,Chicago,41.894729,-87.634371,27,6/25/2013 11:27:09
175,Wells St & Polk St,Chicago ,41.872596,-87.633502,19,7/19/2013 11:08:18
46,Wells St & Walton St,Chicago,41.89993001,-87.63443007,19,6/25/2013 11:03:15
132,Wentworth Ave & 24th St,Chicago ,41.849237,-87.631715,15,7/18/2013 17:58:22
403,Wentworth Ave & 33rd St,Chicago,41.83452989,-87.63182298,15,1/30/2015 17:37:37
405,Wentworth Ave & 35th St,Chicago,41.830777,-87.632504,15,1/30/2015 17:38:21
390,Wentworth Ave & 63rd St,Chicago,41.78007963,-87.62974631,11,1/30/2015 14:42:00
120,Wentworth Ave & Archer Ave,Chicago,41.853605,-87.631886,23,7/18/2013 17:21:53
203,Western Ave & 21st St,Chicago,41.85394,-87.685243,15,8/13/2013 11:55:27
281,Western Ave & 24th St,Chicago,41.84847,-87.685109,11,09-11-2013 12:09
446,Western Ave & 28th St,Chicago,41.84151771,-87.68513144,11,02-10-2015 11:51
382,Western Ave & Congress Pkwy,Chicago,41.87474885,-87.68644528,19,1/30/2015 14:25:12
305,Western Ave & Division St,Chicago,41.902893,-87.687275,15,9/19/2013 12:55:44
452,Western Ave & Granville Ave,Chicago,41.99416137,-87.68943828,15,02-10-2015 14:03
527,Western Ave & Howard St,Chicago,42.018901,-87.690048,19,5/24/2016 15:49:31
239,Western Ave & Leland Ave,Chicago,41.966555,-87.688487,19,8/21/2013 10:50:20
467,Western Ave & Lunt Ave,Chicago,42.0085944,-87.69049224,15,02-10-2015 14:11
381,Western Ave & Monroe St,Chicago,41.87978771,-87.68611281,15,1/30/2015 14:22:27
374,Western Ave & Walton St,Chicago,41.89841769,-87.68659602,15,1/30/2015 13:58:17
116,Western Ave & Winnebago Ave,Chicago,41.91552,-87.687022,15,7/18/2013 17:19:17
594,Western Blvd & 48th Pl,Chicago,41.805661,-87.683392,15,5/27/2016 11:42:34
117,Wilton Ave & Belmont Ave,Chicago,41.94018,-87.65304,23,7/18/2013 17:20:00
13,Wilton Ave & Diversey Pkwy,Chicago,41.932418,-87.652705,27,6/22/2013 18:29:48
505,Winchester Ave & Elston Ave,Chicago,41.92409085,-87.67646007,15,02-10-2015 14:49
519,Wolcott Ave & Fargo Ave,Chicago,42.016977,-87.677725,11,5/24/2016 15:40:32
342,Wolcott Ave & Polk St,Chicago,41.871262,-87.673688,15,10-03-2013 15:04
369,Wood St & 35th St,Chicago,41.83010465,-87.67029831,11,1/30/2015 12:53:32
17,Wood St & Division St,Chicago,41.90332,-87.67273,15,6/22/2013 18:58:29
285,Wood St & Hubbard St,Chicago,41.889587,-87.671956,19,09-12-2013 10:22
61,Wood St & Milwaukee Ave,Chicago,41.907655,-87.672552,19,6/25/2013 12:09:07
317,Wood St & Taylor St,Chicago,41.869154,-87.671045,23,9/20/2013 14:44:29
248,Woodlawn Ave & 55th St,Chicago,41.795264,-87.596471,19,8/22/2013 14:31:48
569,Woodlawn Ave & 75th St,Chicago,41.75916,-87.595751,15,5/27/2016 10:54:32
413,Woodlawn Ave & Lake Park Ave,Chicago,41.81409271,-87.59700515,15,1/30/2015 17:40:36
396,Yates Blvd & 75th St,Chicago,41.758768,-87.56644,11,1/30/2015 17:30:39
596,Benson Ave & Church St,Evanston,42.048214,-87.683485,15,6/14/2016 11:00:57
602,Central St & Girard Ave,Evanston,42.063999,-87.685962,15,6/14/2016 11:04:40
601,Central St Metra,Evanston,42.063598,-87.69873,15,6/14/2016 11:04:14
603,Chicago Ave & Sheridan Rd,Evanston,42.050491,-87.677821,15,6/14/2016 11:05:12
597,Chicago Ave & Washington St,Evanston,42.032562,-87.679101,15,6/14/2016 11:01:36
600,Dodge Ave & Church St,Evanston,42.048308,-87.698224,15,6/14/2016 11:03:42
598,Elmwood Ave & Austin St,Evanston,42.025784,-87.684107,15,6/14/2016 11:02:23
604,Sheridan Rd & Noyes St (NU),Evanston,42.058239,-87.677432,15,6/14/2016 11:05:42
605,University Library (NU),Evanston,42.052939,-87.673447,15,6/14/2016 11:06:21
599,Valli Produce - Evanston Plaza,Evanston,42.039742,-87.699413,15,6/14/2016 11:03:05
607,Cuyler Ave & Augusta St,Oak Park,41.898168,-87.783055,11,6/23/2016 12:22:45
617,East Ave & Garfield St,Oak Park,41.871312,-87.788938,19,6/23/2016 12:27:57
614,East Ave & Madison St,Oak Park,41.880113,-87.789247,15,6/23/2016 12:26:27
606,Forest Ave & Chicago Ave,Oak Park,41.894355,-87.80022,19,6/23/2016 12:21:48
609,Forest Ave & Lake St,Oak Park,41.88891,-87.800255,15,6/23/2016 12:23:59
608,Humphrey Ave & Ontario St,Oak Park,41.890249,-87.778281,11,6/23/2016 12:23:22
618,Lombard Ave & Garfield St,Oak Park,41.870699,-87.778797,19,6/23/2016 12:28:34
615,Lombard Ave & Madison St,Oak Park,41.87981,-87.779425,15,6/23/2016 12:27:02
610,Marion St & South Blvd,Oak Park,41.88681,-87.80287,19,6/23/2016 12:24:30
616,Oak Park Ave & Harrison St,Oak Park,41.872987,-87.793945,19,6/23/2016 12:27:31
611,Oak Park Ave & South Blvd,Oak Park,41.886923,-87.793899,19,6/23/2016 12:25:00
612,Ridgeland Ave & Lake St,Oak Park,41.888085,-87.785236,15,6/23/2016 12:25:30
613,Wisconsin Ave & Madison St,Oak Park,41.879837,-87.80224,11,6/23/2016 12:26:01
